1602172290.000000, 1602172290.000000, 1602172290.000000
32.000000, 32.000000, 32.000000
-34,-24,51
-34,-24,51
-34,-23,50
-31,-22,50
-30,-22,50
-30,-22,50
-30,-24,50
-31,-27,50
-32,-27,50
-31,-25,49
-30,-24,50
-29,-22,51
-30,-25,51
-31,-25,51
-32,-26,51
-32,-26,51
-30,-25,51
-30,-24,52
-30,-24,51
-30,-24,51
-30,-24,51
-30,-24,51
-30,-24,51
-30,-24,50
-30,-23,51
-30,-23,50
-30,-23,50
-31,-23,50
-31,-23,50
-31,-23,50
-31,-24,51
-31,-24,50
-31,-23,50
-31,-24,51
-29,-23,51
-30,-22,51
-31,-25,51
-33,-24,51
-32,-23,50
-33,-22,49
-33,-23,50
-31,-25,50
-33,-26,51
-30,-26,53
-29,-25,52
-29,-24,52
-28,-24,53
-28,-23,53
-28,-23,52
-28,-22,51
-29,-20,50
-30,-20,50
-27,-21,52
-33,-20,48
-33,-21,49
-31,-21,51
-33,-20,50
-32,-16,49
-30,-17,51
-32,-17,51
-32,-18,50
-33,-18,51
-33,-20,51
-33,-21,50
-34,-22,50
-32,-22,50
-31,-23,54
-32,-22,53
-29,-20,53
-30,-21,54
-29,-22,52
-30,-22,51
-31,-22,50
-32,-22,50
-33,-23,50
-34,-22,50
-32,-21,50
-33,-21,50
-33,-22,51
-33,-22,51
-36,-23,50
-36,-23,50
-35,-21,50
-35,-20,49
-34,-18,49
-34,-18,49
-35,-18,49
-37,-19,50
-36,-19,50
-35,-18,50
-35,-18,51
-34,-19,52
-33,-19,51
-34,-20,51
-32,-23,51
-32,-23,50
-34,-22,50
-32,-21,50
-31,-20,50
-31,-20,50
-30,-21,51
-33,-22,50
-34,-25,51
-33,-24,50
-33,-23,50
-31,-20,50
-30,-19,50
-31,-20,50
-32,-21,50
-32,-23,51
-33,-24,52
-32,-25,52
-30,-25,52
-29,-25,52
-29,-24,51
-28,-25,52
-27,-25,50
-27,-26,51
-27,-27,51
-27,-26,52
-26,-25,52
-25,-23,52
-24,-22,53
-24,-21,53
-24,-21,53
-25,-22,53
-26,-23,52
-27,-22,53
-26,-22,52
-26,-21,52
-25,-22,53
-25,-23,52
-25,-22,51
-24,-22,51
-27,-23,51
-27,-23,52
-25,-22,55
-27,-24,55
-27,-25,55
-28,-26,55
-28,-25,55
-28,-23,51
-28,-23,51
-26,-22,52
-28,-21,50
-27,-21,50
-28,-21,51
-28,-21,52
-27,-21,53
-28,-21,53
-28,-21,53
-27,-21,52
-28,-20,51
-30,-20,51
-30,-19,52
-30,-21,51
-30,-21,52
-31,-21,52
-31,-20,53
-30,-19,51
-30,-18,52
-30,-19,52
-31,-24,55
-31,-24,55
-31,-21,55
-30,-20,54
-29,-19,52
-29,-19,51
-30,-20,51
-30,-21,52
-30,-21,52
-30,-20,53
-29,-20,53
-30,-19,51
-31,-20,51
-30,-19,51
-32,-20,51
-32,-22,53
-31,-21,53
-31,-20,52
-30,-20,52
-30,-20,52
-30,-19,51
-30,-20,51
-31,-21,51
-30,-21,54
-30,-21,53
-31,-19,52
-29,-19,53
-30,-19,52
-32,-19,51
-29,-20,51
-33,-20,51
-32,-20,51
-31,-21,51
-31,-21,51
-31,-19,52
-30,-19,52
-30,-19,52
-31,-20,53
-31,-24,56
-31,-22,55
-30,-20,53
-29,-19,52
-29,-19,51
-28,-20,51
-28,-21,51
-32,-25,52
-31,-25,54
-28,-21,53
-28,-18,53
-27,-18,53
-28,-18,52
-30,-19,51
-30,-21,52
-29,-22,53
-30,-21,53
-29,-20,54
-28,-20,54
-30,-19,52
-30,-19,52
-29,-20,52
-29,-20,52
-30,-19,52
-29,-20,52
-29,-20,52
-29,-20,53
-29,-20,53
-29,-20,52
-29,-20,52
-29,-20,53
-29,-20,53
-28,-20,53
-28,-20,53
-29,-21,53
-29,-21,53
-28,-21,53
-28,-21,53
-28,-21,53
-28,-21,53
-28,-21,52
-28,-21,53
-28,-21,52
-28,-21,52
-28,-21,53
-28,-21,52
-29,-21,52
-29,-20,52
-28,-21,53
-28,-21,52
-28,-21,53
-29,-21,52
-28,-21,53
-28,-21,52
-29,-21,53
-28,-21,53
-29,-21,52
-28,-21,53
-28,-21,53
-28,-22,53
-28,-22,52
-29,-21,52
-28,-22,53
-28,-22,52
-28,-21,53
-28,-21,52
-29,-22,52
-28,-22,52
-28,-22,52
-28,-22,53
-28,-22,53
-28,-22,52
-27,-22,53
-28,-22,53
-28,-22,52
-29,-22,52
-27,-22,53
-29,-22,53
-29,-22,53
-28,-22,52
-29,-23,53
-28,-22,53
-28,-22,53
-28,-22,53
-28,-21,52
-28,-21,52
-28,-21,52
-27,-20,52
-27,-20,52
-27,-20,52
-28,-20,52
-29,-21,52
-28,-20,53
-28,-20,52
-28,-21,53
-28,-21,53
-28,-21,53
-28,-21,53
-29,-20,53
-28,-20,53
-28,-21,53
-28,-20,53
-28,-21,53
-29,-20,52
-29,-21,53
-29,-21,53
-29,-20,52
-28,-20,53
-28,-20,53
-28,-20,53
-29,-20,52
-29,-20,52
-28,-20,53
-29,-20,53
-29,-20,53
-29,-20,53
-29,-20,52
-29,-21,52
-29,-21,52
-28,-21,52
-29,-20,52
-29,-20,52
-29,-20,52
