,window_length,feature,model,measure,electricPanel,hoist,ladder,lift,overhead,push,sit,stand,type,walk,overall_accuracy,overall_accuracy_stdev
42,10,Time,k-NN,f1-score,0.85,0.89,0.82,0.82,0.98,0.91,0.84,0.98,0.82,0.96,0.88,0.04
43,10,Time,k-NN,precision,0.82,0.91,0.85,0.78,0.99,0.92,0.86,0.98,0.82,0.98,0.88,0.04
44,10,Time,k-NN,recall,0.89,0.87,0.8,0.88,0.98,0.9,0.83,0.98,0.83,0.94,0.88,0.04
45,10,Time Frequency,RF,f1-score,0.94,0.95,0.95,0.94,0.98,0.96,0.97,0.99,0.96,0.99,0.96,0.01
46,10,Time Frequency,RF,precision,0.93,0.96,0.93,0.96,0.98,0.97,0.97,0.98,0.98,1.0,0.96,0.01
47,10,Time Frequency,RF,recall,0.95,0.94,0.97,0.93,0.98,0.95,0.98,0.99,0.94,0.99,0.96,0.01
48,10,Time Frequency,SVM,f1-score,0.97,0.94,0.96,0.95,0.99,1.0,0.96,0.98,0.97,0.99,0.97,0.01
49,10,Time Frequency,SVM,precision,0.97,0.94,0.96,0.93,0.99,1.0,0.95,0.99,0.99,1.0,0.97,0.01
50,10,Time Frequency,SVM,recall,0.97,0.95,0.97,0.96,0.98,0.99,0.97,0.98,0.96,0.97,0.97,0.01
51,10,Time Frequency,k-NN,f1-score,0.97,0.96,0.95,0.93,0.99,0.99,0.96,0.99,0.95,1.0,0.97,0.01
52,10,Time Frequency,k-NN,precision,0.97,0.99,0.94,0.92,1.0,0.99,0.94,0.98,0.96,1.0,0.97,0.01
53,10,Time Frequency,k-NN,recall,0.98,0.93,0.96,0.95,0.98,0.99,0.97,0.99,0.94,1.0,0.97,0.01
