,group1,group2,meandiff,p-adj,lower,upper,reject
0,KNN,RandomForest,0.023,0.2493,-0.0115,0.0575,False
1,KNN,SVC,0.031,0.0857,-0.0035,0.0656,False
2,RandomForest,SVC,0.008,0.8239,-0.0265,0.0426,False
