,group1,group2,meandiff,p-adj,lower,upper,reject
0,KNN,RandomForest,0.0089,0.7776,-0.0245,0.0422,False
1,KNN,SVC,0.0282,0.1114,-0.0051,0.0616,False
2,RandomForest,SVC,0.0194,0.3457,-0.014,0.0527,False
