,sum_sq,df,F,PR(>F)
C(classifier),0.0062533048632174675,2.0,4.7138280616774315,0.015194243452705265
C(feature_set),0.03314946673012602,2.0,24.988528453370602,1.5651597477760556e-07
C(classifier):C(feature_set),0.0023370236156754795,4.0,0.8808404308874346,0.48508947424027005
Residual,0.02387857301224087,36.0,,
