,sum_sq,df,F,PR(>F)
C(classifier),0.007782926936295421,2.0,6.035505257323254,0.00548967310312723
C(feature_set),0.03542323732016318,2.0,27.470016977831094,5.699713121907627e-08
C(classifier):C(feature_set),0.004962017276884151,4.0,1.9239729221856305,0.12754815042074288
Residual,0.023211426198881096,36.0,,
